;;;;;Test EIS - Bericht 39;;;;;;;;;;;;;;;;;
;;;;;;;Autor;CCF_PMA;;Aktualität der Daten;14.03.2015 10:28:17;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Information;;;;;;;;;;;;;;;;
;;;;;;Autor;CCF_PMA;;Letztes Auffrischen;29.04.2015 10:00:00;;;;;;;;;;;;
;;;;;;Aktueller Benutzer;CCF_PMA;;Stichtag;29.04.2015;;;;;;;;;;;;
;;;;;;Letzter Änderer;CCF_PMA;;Änderungszeit;29.04.2015 09:59:51;;;;;;;;;;;;
;;;;;;InfoProvider;JE_MCOPL;;Aktualität der Daten;14.03.2015 10:28:17;;;;;;;;;;;;
;;;;;;Query Technischer Name;JE_MCOPL_A_1_20_0_00_099;;Aktualität der Daten (Datum);14.03.2015;;;;;;;;;;;;
;;;;;;Query-Beschreibung;Test EIS - Bericht 39;;Aktualität der Daten (Uhrzeit);10:28:17;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;Filter;;;;Table;;;;;;;;;;;;;;;;
;;Detailaufgabengebiet;;;;Detailaufgabengebiet;;Jahreskredit;;Anmeldesprache;Rechnung 2004;Rechnung 2005;Rechnung 2006;Rechnung 2007;Rechnung 2008;Rechnung 2009;Rechnung 2010;Rechnung 2011;Rechnung 2012;Rechnung 2013;Voranschlag 2014 nach K;Rechnung 2014
;;Jahreskredit;;;;0;Aufgabenportfolio;0570/A6100.0001;Funktionsaufwand (Globalbudget);1;38'444'205 CHF;39'366'513 CHF;44'832'904 CHF;49'110'261 CHF;49'464'663 CHF;51'946'835 CHF;53'867'765 CHF;56'983'975 CHF;60'481'219 CHF;60'142'366 CHF;59'265'900 CHF;61'710'208 CHF
;;Kennzahlen;,Anmeldesprache,Rechnung 2004,Rechnung 2005,Rechnung 2006,Rechnung 2007,Rechnung 2008,Rechnung 2009,Rechnung 2010...;;;;;0570/A6210.0109;Abgeltung der amtlichen Vermessung und des ÖREB-Katasters;1;37'361'050 CHF;33'223'600 CHF;31'357'200 CHF;28'096'200 CHF;26'029'200 CHF;20'811'600 CHF;19'398'500 CHF;19'398'000 CHF;18'246'650 CHF;17'409'777 CHF;18'493'500 CHF;12'967'328 CHF
;;;;;;;;0570/A6210.0110;Flächenbeiträge;1;7'148'741 CHF;2'145'813 CHF;2'193'072 CHF;;;;;;;;;
;;;;;;;;0570/A8100.0001;Sach- und immaterielle Anlagen, Vorräte (Globalbudget);1;5'054'579 CHF;2'301'207 CHF;3'871'055 CHF;3'594'593 CHF;3'829'294 CHF;3'020'744 CHF;1'547'400 CHF;3'633'034 CHF;1'179'098 CHF;1'944'547 CHF;3'000'000 CHF;2'594'986 CHF
